# call_index  Electronic(H)         Repulsive(H)          Total(H)
     133        -86.7030649305          0.9863408029        -85.7167241275
     134        -86.9958136526          1.4175161668        -85.5782974858
     135        -87.1196652612          1.6326339042        -85.4870313569
     136        -86.9918674950          1.4054885673        -85.5863789277
     137        -86.6956680332          0.9870161006        -85.7086519326
     138        -86.3744231036          0.6843360867        -85.6900870169
     139        -86.1315491872          0.5688428507        -85.5627063365
     140        -86.0156922185          0.5455429140        -85.4701493046
     141        -86.0431634601          0.5362788912        -85.5068845689
     142        -86.2097271391          0.5725790761        -85.6371480630
     143        -86.4871944419          0.7678975147        -85.7192969272
     144        -86.8039394456          1.1602454233        -85.6436940223
     145        -87.0228078756          1.5128133110        -85.5099945646
     146        -87.0134167398          1.4792641150        -85.5341526248
     147        -86.7897756392          1.1274502531        -85.6623253861
     148        -86.4769031445          0.7642074488        -85.7126956957
     149        -86.1998690006          0.5730316178        -85.6268373828
     150        -86.0310991834          0.5203956150        -85.5107035684
     151        -86.0009533965          0.5133016288        -85.4876517678
     152        -86.1153455347          0.5317133557        -85.5836321790
     153        -86.3585906612          0.6610678399        -85.6975228213
     154        -86.6795789381          0.9880741980        -85.6915047401
     155        -86.9679572748          1.4026177396        -85.5653395352
     156        -87.0782978560          1.5591442795        -85.5191535765
     157        -86.9618473048          1.3522283878        -85.6096189170
     158        -86.6989698907          1.0029735539        -85.6959963369
     159        -86.4131031995          0.7454473275        -85.6676558719
     160        -86.1993398084          0.6392441262        -85.5600956822
     161        -86.1057139602          0.6120325999        -85.4936813603
     162        -86.1492896724          0.6080191876        -85.5412704848
     163        -86.3248622769          0.6688471361        -85.6560151408
     164        -86.5998051321          0.8926340299        -85.7071711022
     165        -86.8927690647          1.2702248689        -85.6225441957
     166        -87.0663720882          1.5369999816        -85.5293721066
     167        -87.0234248530          1.4548591891        -85.5685656640
     168        -86.7965652178          1.1375906870        -85.6589745307
     169        -86.4939381269          0.8120480945        -85.6818900324
     170        -86.2274996416          0.6237930195        -85.6037066221
     171        -86.0668272862          0.5531981499        -85.5136291363
     172        -86.0426950685          0.5328028033        -85.5098922652
     173        -86.1600044705          0.5586372487        -85.6013672218
     174        -86.3991170751          0.7099062719        -85.6892108032
     175        -86.7016215499          1.0374004246        -85.6642211252
     176        -86.9511343850          1.3862770868        -85.5648572981
     177        -87.0226956831          1.4704680775        -85.5522276055
     178        -86.8927822845          1.2686839665        -85.6240983180
     179        -86.6349940835          0.9561851593        -85.6788089242
     180        -86.3584080108          0.7127314738        -85.6456765370
     181        -86.1527682283          0.5952751918        -85.5574930365
     182        -86.0650666339          0.5520523400        -85.5130142939
     183        -86.1121230137          0.5475303547        -85.5645926590
     184        -86.2870538751          0.6286489581        -85.6584049170
     185        -86.5520766643          0.8707918240        -85.6812848403
     186        -86.8189811158          1.2168415734        -85.6021395423
     187        -86.9594356485          1.4091888109        -85.5502468376
     188        -86.9057094547          1.3109446399        -85.5947648148
     189        -86.6956607372          1.0405729083        -85.6550878289
     190        -86.4203802311          0.7592626286        -85.6611176025
     191        -86.1800299420          0.5849440730        -85.5950858690
     192        -86.0417451012          0.5115816409        -85.5301634603
     193        -86.0362492172          0.4952162192        -85.5410329980
     194        -86.1670740090          0.5462246269        -85.6208493821
     195        -86.4101759080          0.7312934802        -85.6788824279
     196        -86.7002696653          1.0588653278        -85.6414043375
     197        -86.9226281439          1.3496691709        -85.5729589730
     198        -86.9766872518          1.3947605135        -85.5819267383
     199        -86.8553464801          1.2217984889        -85.6335479913
     200        -86.6227853085          0.9598858779        -85.6628994306
     201        -86.3737139297          0.7438906273        -85.6298233024
     202        -86.1909213821          0.6279613349        -85.5629600472
     203        -86.1205054236          0.5823959615        -85.5381094621
     204        -86.1798458366          0.5915511159        -85.5882947206
     205        -86.3613296827          0.7026591898        -85.6586704929
     206        -86.6219921699          0.9631755677        -85.6588166022
     207        -86.8681816427          1.2731204507        -85.5950611920
     208        -86.9871974766          1.4097085223        -85.5774889543
     209        -86.9370741066          1.3165619332        -85.6205121734
     210        -86.7556546369          1.1031995840        -85.6524550529
     211        -86.5170230885          0.8736866393        -85.6433364492
     212        -86.3098870601          0.7203825060        -85.5895045542
     213        -86.1975381975          0.6496410528        -85.5478971447
     214        -86.2096069806          0.6406128132        -85.5689941674
     215        -86.3484949227          0.7142861195        -85.6342088032
     216        -86.5869029141          0.9226453903        -85.6642575238
     217        -86.8536043564          1.2342091025        -85.6193952539
     218        -87.0375830439          1.4575056610        -85.5800773829
     219        -87.0613027875          1.4524500085        -85.6088527789
     220        -86.9332439459          1.2882249408        -85.6450190051
     221        -86.7085864945          1.0591048343        -85.6494816602
     222        -86.4666459189          0.8515973601        -85.6150485588
     223        -86.2827876735          0.7137382869        -85.5690493865
     224        -86.2018643991          0.6379012521        -85.5639631470
     225        -86.2421743188          0.6305176460        -85.6116566728
     226        -86.3940196102          0.7367944564        -85.6572251538
     227        -86.6103457485          0.9734290304        -85.6369167182
     228        -86.7981219632          1.2078504057        -85.5902715575
     229        -86.8648422460          1.2673457544        -85.5974964917
     230        -86.7886955957          1.1518943436        -85.6368012521
     231        -86.6082597095          0.9628518654        -85.6454078440
     232        -86.3845616769          0.7591433309        -85.6254183461
