# call_index  Electronic(H)         Repulsive(H)          Total(H)
     252        -86.5486469817          0.8494402924        -85.6992066893
     253        -86.5527399881          0.8514709114        -85.7012690766
     254        -86.5448460119          0.8427680783        -85.7020779336
     255        -86.5298354498          0.8318298780        -85.6980055718
     256        -86.5136763466          0.8228383989        -85.6908379478
     257        -86.5018717758          0.8164733019        -85.6853984739
     258        -86.4985597390          0.8143713841        -85.6841883549
     259        -86.5056055956          0.8206318274        -85.6849737683
     260        -86.5213159821          0.8373865307        -85.6839294514
     261        -86.5402645649          0.8595725408        -85.6806920240
     262        -86.5546854849          0.8750532049        -85.6796322800
     263        -86.5578159583          0.8728998370        -85.6849161213
     264        -86.5477517154          0.8536096866        -85.6941420287
     265        -86.5273016254          0.8261277611        -85.7011738644
     266        -86.5016117834          0.7983890642        -85.7032227192
     267        -86.4764612351          0.7737558478        -85.7027053872
     268        -86.4570143027          0.7532645626        -85.7037497401
     269        -86.4471529378          0.7399391307        -85.7072138071
     270        -86.4481998861          0.7383569943        -85.7098428918
     271        -86.4576880535          0.7495569964        -85.7081310572
     272        -86.4695403123          0.7667660504        -85.7027742618
     273        -86.4760772943          0.7775431573        -85.6985341370
     274        -86.4717324006          0.7730201489        -85.6987122517
     275        -86.4561072110          0.7555658637        -85.7005413473
     276        -86.4326903400          0.7331526570        -85.6995376830
     277        -86.4067895179          0.7119559470        -85.6948335710
     278        -86.3840808838          0.6943627317        -85.6897181520
     279        -86.3695868444          0.6817762046        -85.6878106398
     280        -86.3669519284          0.6778512577        -85.6891006707
     281        -86.3768440435          0.6864126714        -85.6904313721
     282        -86.3959084280          0.7066921347        -85.6892162933
     283        -86.4173383785          0.7307511609        -85.6865872176
     284        -86.4333448652          0.7472207866        -85.6861240786
     285        -86.4391844844          0.7504756766        -85.6887088078
     286        -86.4351668799          0.7442364706        -85.6909304092
     287        -86.4248927097          0.7342161346        -85.6906765751
     288        -86.4138120195          0.7242846947        -85.6895273249
     289        -86.4075543235          0.7163026432        -85.6912516803
     290        -86.4106896005          0.7131990969        -85.6974905037
     291        -86.4257184702          0.7197710153        -85.7059474549
     292        -86.4515072574          0.7392347125        -85.7122725449
     293        -86.4829315913          0.7687821497        -85.7141494416
